DateTime,VariableID,VariableValue,VariableName,VariableUnits
2016-08-29 15:44:12,37,146,argosErrOrient,degree
2016-08-29 15:47:27,2,-69.283,longitude,degree
2016-08-29 15:47:27,3,41.494,latitude,degree
2016-08-29 15:47:27,34,A,argosLC,unitless
2016-08-29 16:28:48,2,-69.2681,longitude,degree
2016-08-29 16:28:48,3,41.5028,latitude,degree
2016-08-29 16:28:48,34,1,argosLC,unitless
2016-08-29 16:28:48,35,1808,argosErrMaj,meter
2016-08-29 16:28:48,36,266,argosErrMin,meter
2016-08-29 16:28:48,37,55,argosErrOrient,degree
2016-08-29 16:29:12,2,-69.268,longitude,degree
2016-08-29 16:29:12,3,41.503,latitude,degree
2016-08-29 16:29:12,34,1,argosLC,unitless
2016-08-29 17:08:10,2,-69.2367,longitude,degree
2016-08-29 17:08:10,3,41.5011,latitude,degree
2016-08-29 17:08:10,34,1,argosLC,unitless
2016-08-29 17:08:10,35,1453,argosErrMaj,meter
2016-08-29 17:08:10,36,629,argosErrMin,meter
2016-08-29 17:08:10,37,7,argosErrOrient,degree
2016-08-29 17:13:58,2,-69.237,longitude,degree
2016-08-29 17:13:58,3,41.501,latitude,degree
2016-08-29 17:13:58,34,1,argosLC,unitless
2016-08-29 20:36:26,2,-69.1819,longitude,degree
2016-08-29 20:36:26,3,41.5228,latitude,degree
2016-08-29 20:36:26,34,B,argosLC,unitless
2016-08-29 20:36:26,35,19799,argosErrMaj,meter
2016-08-29 20:36:26,36,9406,argosErrMin,meter
2016-08-29 20:36:26,37,98,argosErrOrient,degree
2016-08-29 21:29:40,2,-69.2018,longitude,degree
2016-08-29 21:29:40,3,41.5195,latitude,degree
2016-08-29 21:29:40,34,B,argosLC,unitless
2016-08-29 21:29:40,35,19012,argosErrMaj,meter
2016-08-29 21:29:40,36,11081,argosErrMin,meter
2016-08-29 21:29:40,37,95,argosErrOrient,degree
2016-08-29 21:39:42,2,-69.218,longitude,degree
2016-08-29 21:39:42,3,41.468,latitude,degree
2016-08-29 21:39:42,34,B,argosLC,unitless
2016-08-29 21:40:04,2,-69.2181,longitude,degree
2016-08-29 21:40:04,3,41.4678,latitude,degree
2016-08-29 21:40:04,34,B,argosLC,unitless
2016-08-29 21:40:04,35,10080,argosErrMaj,meter
2016-08-29 21:40:04,36,1192,argosErrMin,meter
2016-08-29 21:40:04,37,94,argosErrOrient,degree
2016-08-29 21:57:42,2,-69.235,longitude,degree
2016-08-29 21:57:42,3,41.483,latitude,degree
2016-08-29 21:57:42,34,B,argosLC,unitless
2016-08-29 22:00:43,2,-69.235,longitude,degree
2016-08-29 22:00:43,3,41.4831,latitude,degree
2016-08-29 22:00:43,34,B,argosLC,unitless
2016-08-29 22:00:43,35,92838,argosErrMaj,meter
2016-08-29 22:00:43,36,86,argosErrMin,meter
2016-08-29 22:00:43,37,82,argosErrOrient,degree
2016-08-30 09:43:49,2,-69.3196,longitude,degree
2016-08-30 09:43:49,3,41.3725,latitude,degree
2016-08-30 09:43:49,34,B,argosLC,unitless
2016-08-30 09:43:49,35,24218,argosErrMaj,meter
2016-08-30 09:43:49,36,394,argosErrMin,meter
2016-08-30 09:43:49,37,115,argosErrOrient,degree
2016-08-31 07:05:01,2,-69.2653,longitude,degree
2016-08-31 07:05:01,3,41.3916,latitude,degree
2016-08-31 07:05:01,34,B,argosLC,unitless
2016-08-31 07:05:01,35,10648,argosErrMaj,meter
2016-08-31 07:05:01,36,2143,argosErrMin,meter
2016-08-31 07:05:01,37,122,argosErrOrient,degree
2016-08-31 07:05:02,2,-69.265,longitude,degree
2016-08-31 07:05:02,3,41.392,latitude,degree
