DeployID,Ptt,Instr,RecordType,MsgCount,Duplicates,Corrupt,AvgInterval,MinInterval,Date,Satellite,LocationQuality,Latitude,Longitude,Latitude2,Longitude2,IQ,Duration,Frequency,Power
196385,196385,MiniPAT,DS,3,0,2,328,60,16:17:19 17-Feb-2020,NK,A,20.6413,38.3269,20.9704,39.9309,8,,401677646,-128
196385,196385,MiniPAT,DS,2,0,1,416,416,16:19:18 17-Feb-2020,SR,B,20.6681,38.3468,24.9870,17.5649,8,,401677643,-127
196385,196385,MiniPAT,DS,6,0,4,107,59,17:05:55 17-Feb-2020,MA,2,20.6716,38.3465,26.4431,65.4402,68,,401677645,-122
196385,196385,MiniPAT,DS,4,0,2,119,59,17:32:16 17-Feb-2020,MC,2,20.6714,38.3477,27.8768,72.2245,68,,401677644,-124
196385,196385,MiniPAT,DS,10,0,3,65,59,17:54:05 17-Feb-2020,NN,2,20.6675,38.3450,23.2339,49.8040,58,,401650000,-137
196385,196385,MiniPAT,DS,5,0,2,88,59,17:58:03 17-Feb-2020,NK,1,20.6738,38.3469,10.3192,-7.9300,68,,401677643,-130
196385,196385,MiniPAT,DS,6,0,3,71,59,18:18:52 17-Feb-2020,MB,1,20.6664,38.3421,22.9824,49.1037,58,,401677646,-127
196385,196385,MiniPAT,DS,13,0,4,59,59,18:45:41 17-Feb-2020,MA,3,20.6650,38.3453,16.0848,17.3304,56,,401677646,-116
196385,196385,MiniPAT,DS,11,0,5,65,59,19:13:02 17-Feb-2020,MC,3,20.6652,38.3467,17.5034,24.1889,66,,401677645,-116
196385,196385,MiniPAT,DS,10,0,3,59,59,19:35:54 17-Feb-2020,NN,2,20.6667,38.3450,12.2226,1.5295,68,,401677645,-127
196385,196385,MiniPAT,DS,2,0,2,180,180,01:45:45 18-Feb-2020,SR,B,20.6749,38.3481,28.9814,78.5874,8,,401677646,-131
196385,196385,MiniPAT,DS,11,0,5,71,59,02:58:54 18-Feb-2020,NP,3,20.6777,38.3523,18.7532,46.7662,66,,401677646,-125
196385,196385,MiniPAT,DS,12,0,1,59,59,03:24:18 18-Feb-2020,SR,3,20.6789,38.3544,19.0369,30.7422,66,,401677646,-121
196385,196385,MiniPAT,DS,6,0,4,107,59,04:38:56 18-Feb-2020,NP,1,20.6798,38.3551,29.5910,-1.2607,58,,401677646,-130
196385,196385,MiniPAT,DS,11,0,3,65,59,04:44:53 18-Feb-2020,NK,1,20.6790,38.3567,20.2121,40.4919,58,,401677645,-121
196385,196385,MiniPAT,DS,9,0,5,67,59,05:35:35 18-Feb-2020,MA,2,20.6820,38.3604,14.9596,64.6504,58,,401677646,-120
196385,196385,MiniPAT,DS,6,0,3,59,59,06:02:25 18-Feb-2020,MC,2,20.6791,38.3583,13.3195,71.5952,66,,401677644,-120
196385,196385,MiniPAT,DS,3,0,2,59,59,06:20:53 18-Feb-2020,NK,A,20.6895,38.3481,30.3374,-6.8520,56,,401677645,-132
196385,196385,MiniPAT,DS,12,0,4,59,59,06:30:20 18-Feb-2020,NN,3,20.6819,38.3623,18.6345,47.4365,56,,401677645,-124
196385,196385,MiniPAT,DS,7,0,3,99,60,06:50:42 18-Feb-2020,MB,3,20.6825,38.3598,18.4796,48.4007,66,,401677645,-130
196385,196385,MiniPAT,DS,9,0,2,67,59,07:15:05 18-Feb-2020,MA,3,20.6846,38.3587,25.3425,16.5252,68,,401677645,-119
196385,196385,MiniPAT,DS,11,0,4,65,59,07:41:55 18-Feb-2020,MC,3,20.6878,38.3582,23.9187,23.5566,58,,401677632,-122
196385,196385,MiniPAT,DS,5,0,3,89,59,08:09:18 18-Feb-2020,NN,1,20.6964,38.3585,29.3516,-0.7091,58,,401650000,-129
196385,196385,MiniPAT,DS,1,0,1,,,08:32:08 18-Feb-2020,MB,,,,,,,,401650000,-133
196385,196385,MiniPAT,DS,4,0,2,79,59,14:08:30 18-Feb-2020,SR,1,20.6910,38.4029,11.5404,80.2507,66,,401677643,-131
