DeployID,Ptt,Instr,Date,Type,Quality,Latitude,Longitude,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,GPE MSD,GPE U,Count,Comment
196385,196385,MiniPAT,19:23:14 14-Feb-2020,Argos,A,20.3829,38.4624,1096,3459,346,178,,,,,,
196385,196385,MiniPAT,19:49:11 14-Feb-2020,Argos,B,20.3870,38.4495,1772,12788,245,88,,,,,,
196385,196385,MiniPAT,20:15:07 14-Feb-2020,Argos,1,20.3845,38.4421,735,2106,256,144,,,,,,
196385,196385,MiniPAT,01:39:12 15-Feb-2020,Argos,1,20.4250,38.3506,563,1611,196,0,,,,,,
196385,196385,MiniPAT,01:53:05 15-Feb-2020,Argos,2,20.4283,38.3544,406,662,248,14,,,,,,
196385,196385,MiniPAT,03:17:58 15-Feb-2020,Argos,2,20.4423,38.3343,300,1319,68,78,,,,,,
196385,196385,MiniPAT,03:34:19 15-Feb-2020,Argos,3,20.4436,38.3254,242,632,92,109,,,,,,
196385,196385,MiniPAT,04:20:26 15-Feb-2020,Argos,3,20.4527,38.3195,169,304,93,94,,,,,,
196385,196385,MiniPAT,04:58:08 15-Feb-2020,Argos,1,20.4550,38.3150,558,1555,200,38,,,,,,
196385,196385,MiniPAT,05:23:28 15-Feb-2020,Argos,2,20.4733,38.3093,346,629,190,11,,,,,,
196385,196385,MiniPAT,05:59:41 15-Feb-2020,Argos,3,20.4723,38.2970,247,369,164,173,,,,,,
196385,196385,MiniPAT,06:11:05 15-Feb-2020,Argos,A,20.4742,38.2966,165,253,106,83,,,,,,
196385,196385,MiniPAT,06:37:51 15-Feb-2020,Argos,2,20.4800,38.2888,369,2049,66,103,,,,,,
196385,196385,MiniPAT,07:05:37 15-Feb-2020,Argos,2,20.4842,38.2929,340,1985,58,101,,,,,,
196385,196385,MiniPAT,07:05:37 15-Feb-2020,Argos,2,20.4848,38.2854,260,556,121,107,,,,,,
196385,196385,MiniPAT,07:52:46 15-Feb-2020,Argos,3,20.4921,38.2786,149,182,121,69,,,,,,
196385,196385,MiniPAT,08:15:35 15-Feb-2020,Argos,B,20.4956,38.2870,535,3766,75,116,,,,,,
196385,196385,MiniPAT,08:43:54 15-Feb-2020,Argos,1,20.4989,38.2747,510,1293,201,25,,,,,,
196385,196385,MiniPAT,13:07:41 15-Feb-2020,Argos,B,20.5218,38.2375,503,3519,72,76,,,,,,
196385,196385,MiniPAT,14:03:25 15-Feb-2020,Argos,1,20.5360,38.2539,1051,4348,254,37,,,,,,
196385,196385,MiniPAT,14:47:35 15-Feb-2020,Argos,0,20.5545,38.2793,3264,108507,98,77,,,,,,
196385,196385,MiniPAT,15:28:46 15-Feb-2020,Argos,2,20.5523,38.2388,271,548,134,151,,,,,,
196385,196385,MiniPAT,15:43:08 15-Feb-2020,Argos,1,20.5525,38.2388,602,4794,75,104,,,,,,
196385,196385,MiniPAT,16:29:15 15-Feb-2020,Argos,0,20.5553,38.2444,2275,9223,561,164,,,,,,
196385,196385,MiniPAT,16:37:40 15-Feb-2020,Argos,A,20.5355,38.2273,5465,39773,751,13,,,,,,
196385,196385,MiniPAT,17:06:55 15-Feb-2020,Argos,3,20.5632,38.2391,203,287,143,109,,,,,,
196385,196385,MiniPAT,17:20:48 15-Feb-2020,Argos,A,20.5654,38.2320,525,4504,61,107,,,,,,
196385,196385,MiniPAT,17:45:35 15-Feb-2020,Argos,3,20.5675,38.2329,145,463,45,70,,,,,,
196385,196385,MiniPAT,18:13:49 15-Feb-2020,Argos,3,20.5716,38.2321,166,293,94,67,,,,,,
196385,196385,MiniPAT,18:17:47 15-Feb-2020,Argos,0,20.5642,38.2001,4441,163137,120,77,,,,,,
196385,196385,MiniPAT,19:28:15 15-Feb-2020,Argos,2,20.5829,38.2297,257,423,155,179,,,,,,
196385,196385,MiniPAT,19:55:32 15-Feb-2020,Argos,2,20.5858,38.2293,316,444,224,156,,,,,,
196385,196385,MiniPAT,19:59:30 15-Feb-2020,Argos,2,20.5800,38.2324,493,1250,194,160,,,,,,
196385,196385,MiniPAT,01:42:01 16-Feb-2020,Argos,1,20.6347,38.2252,610,1769,210,31,,,,,,
196385,196385,MiniPAT,02:47:29 16-Feb-2020,Argos,3,20.6497,38.2185,139,275,70,72,,,,,,
196385,196385,MiniPAT,03:20:15 16-Feb-2020,Argos,2,20.6574,38.2193,339,1656,69,97,,,,,,
196385,196385,MiniPAT,03:57:01 16-Feb-2020,Argos,2,20.6597,38.2224,306,640,145,73,,,,,,
196385,196385,MiniPAT,04:27:21 16-Feb-2020,Argos,2,20.6658,38.2226,402,572,281,172,,,,,,
196385,196385,MiniPAT,05:01:39 16-Feb-2020,Argos,B,20.6737,38.2104,1253,8804,178,113,,,,,,
196385,196385,MiniPAT,05:12:35 16-Feb-2020,Argos,B,20.6742,38.2240,670,2333,192,100,,,,,,
196385,196385,MiniPAT,05:34:28 16-Feb-2020,Argos,2,20.6786,38.2182,277,319,239,112,,,,,,
196385,196385,MiniPAT,06:14:44 16-Feb-2020,Argos,3,20.6868,38.2196,176,644,48,110,,,,,,
196385,196385,MiniPAT,06:44:37 16-Feb-2020,Argos,3,20.6924,38.2275,200,668,59,89,,,,,,
196385,196385,MiniPAT,06:51:04 16-Feb-2020,Argos,1,20.6962,38.2084,555,3748,82,108,,,,,,
196385,196385,MiniPAT,07:34:27 16-Feb-2020,Argos,B,20.7083,38.2332,3288,45528,237,67,,,,,,
196385,196385,MiniPAT,07:56:18 16-Feb-2020,Argos,1,20.7044,38.2201,1146,2728,481,7,,,,,,
196385,196385,MiniPAT,08:24:38 16-Feb-2020,Argos,3,20.7111,38.2172,241,426,136,161,,,,,,
196385,196385,MiniPAT,14:36:13 16-Feb-2020,Argos,2,20.7724,38.2536,294,1247,69,75,,,,,,
196385,196385,MiniPAT,15:11:55 16-Feb-2020,Argos,3,20.7775,38.2625,191,355,102,94,,,,,,
196385,196385,MiniPAT,16:17:22 16-Feb-2020,Argos,2,20.7717,38.2745,316,702,141,158,,,,,,
196385,196385,MiniPAT,16:42:37 16-Feb-2020,Argos,3,20.7817,38.2774,215,456,101,79,,,,,,
196385,196385,MiniPAT,16:50:33 16-Feb-2020,Argos,2,20.7808,38.2743,328,670,160,168,,,,,,
196385,196385,MiniPAT,17:25:46 16-Feb-2020,Argos,3,20.7836,38.2818,227,300,171,61,,,,,,
196385,196385,MiniPAT,17:54:01 16-Feb-2020,Argos,3,20.7874,38.2849,180,207,155,19,,,,,,
196385,196385,MiniPAT,18:06:54 16-Feb-2020,Argos,2,20.7856,38.2799,377,1926,73,77,,,,,,
196385,196385,MiniPAT,18:41:36 16-Feb-2020,Argos,0,20.7875,38.2862,1535,22545,104,77,,,,,,
196385,196385,MiniPAT,19:05:53 16-Feb-2020,Argos,3,20.7860,38.2949,222,358,136,130,,,,,,
196385,196385,MiniPAT,19:33:09 16-Feb-2020,Argos,3,20.7871,38.2980,176,276,111,110,,,,,,
196385,196385,MiniPAT,19:48:30 16-Feb-2020,Argos,2,20.7861,38.2965,408,866,192,178,,,,,,
196385,196385,MiniPAT,02:16:19 17-Feb-2020,Argos,3,20.7675,38.3320,224,261,192,24,,,,,,
196385,196385,MiniPAT,03:08:58 17-Feb-2020,Argos,2,20.7584,38.3305,385,1865,79,112,,,,,,
196385,196385,MiniPAT,03:30:20 17-Feb-2020,Argos,1,20.7594,38.3369,1491,3626,612,28,,,,,,
196385,196385,MiniPAT,03:55:42 17-Feb-2020,Argos,3,20.7533,38.3339,151,176,128,100,,,,,,
196385,196385,MiniPAT,04:48:54 17-Feb-2020,Argos,1,20.7528,38.3404,1063,5464,206,54,,,,,,
196385,196385,MiniPAT,05:09:44 17-Feb-2020,Argos,2,20.7426,38.3416,261,556,122,103,,,,,,
196385,196385,MiniPAT,05:56:00 17-Feb-2020,Argos,3,20.7358,38.3378,244,459,129,89,,,,,,
196385,196385,MiniPAT,06:24:20 17-Feb-2020,Argos,2,20.7310,38.3395,306,483,193,59,,,,,,
196385,196385,MiniPAT,06:41:14 17-Feb-2020,Argos,1,20.7327,38.3400,1233,2555,594,89,,,,,,
196385,196385,MiniPAT,07:12:09 17-Feb-2020,Argos,0,20.7326,38.3122,12326,,,,,,,,,
196385,196385,MiniPAT,07:36:30 17-Feb-2020,Argos,3,20.7241,38.3440,245,401,149,157,,,,,,
196385,196385,MiniPAT,08:02:19 17-Feb-2020,Argos,2,20.7211,38.3457,353,475,262,46,,,,,,
196385,196385,MiniPAT,08:20:19 17-Feb-2020,Argos,B,20.7074,38.3645,3284,42550,253,113,,,,,,
196385,196385,MiniPAT,14:24:34 17-Feb-2020,Argos,3,20.6818,38.3454,200,326,121,72,,,,,,
196385,196385,MiniPAT,14:40:27 17-Feb-2020,Argos,2,20.6761,38.3403,286,503,162,41,,,,,,
196385,196385,MiniPAT,16:05:24 17-Feb-2020,Argos,2,20.6705,38.3449,369,665,204,157,,,,,,
196385,196385,MiniPAT,16:17:19 17-Feb-2020,Argos,A,20.6413,38.3269,4430,13925,1409,37,,,,,,
196385,196385,MiniPAT,16:19:18 17-Feb-2020,Argos,B,20.6681,38.3468,257,347,189,134,,,,,,
196385,196385,MiniPAT,17:05:55 17-Feb-2020,Argos,2,20.6716,38.3465,336,613,183,0,,,,,,
196385,196385,MiniPAT,17:32:16 17-Feb-2020,Argos,2,20.6714,38.3477,361,1087,119,35,,,,,,
196385,196385,MiniPAT,17:54:05 17-Feb-2020,Argos,2,20.6675,38.3450,256,548,119,66,,,,,,
