DeployID,Ptt,DepthSensor,Instr,Date,LocationQuality,Latitude,Longitude,Depth,Temperature,Source
196385,196385,0.500000,MiniPAT,16:00:00 09-Feb-2020,,,,0.0,25.1,Status
196385,196385,0.500000,MiniPAT,04:00:00 10-Feb-2020,,,,0.0,25.3,Status
196385,196385,0.500000,MiniPAT,05:00:00 10-Feb-2020,,,,0.0,25.3,Status
196385,196385,0.500000,MiniPAT,16:00:00 10-Feb-2020,,,,0.0,25.3,Status
196385,196385,0.500000,MiniPAT,20:00:00 10-Feb-2020,,,,0.0,25.1,Status
196385,196385,0.500000,MiniPAT,19:00:00 11-Feb-2020,,,,0.0,25.0,Status
196385,196385,0.500000,MiniPAT,06:00:00 12-Feb-2020,,,,0.0,25.0,Status
196385,196385,0.500000,MiniPAT,16:00:00 12-Feb-2020,,,,0.0,24.9,Status
196385,196385,0.500000,MiniPAT,17:00:00 12-Feb-2020,,,,0.0,24.8,Status
196385,196385,0.500000,MiniPAT,04:00:00 13-Feb-2020,,,,0.0,24.9,Status
196385,196385,0.500000,MiniPAT,15:00:00 13-Feb-2020,,,,0.0,25.1,Status
196385,196385,0.500000,MiniPAT,02:00:00 14-Feb-2020,,,,0.0,25.0,Status
196385,196385,0.500000,MiniPAT,07:00:00 14-Feb-2020,,,,0.0,25.0,Status
196385,196385,0.500000,MiniPAT,13:00:00 14-Feb-2020,,,,0.0,26.0,Status
196385,196385,0.500000,MiniPAT,19:00:00 14-Feb-2020,,,,0.0,25.7,Status
196385,196385,0.500000,MiniPAT,20:00:00 14-Feb-2020,,,,0.0,25.6,Status
196385,196385,0.500000,MiniPAT,02:00:00 15-Feb-2020,,,,0.0,25.4,Status
196385,196385,0.500000,MiniPAT,07:00:00 15-Feb-2020,,,,0.0,25.5,Status
196385,196385,0.500000,MiniPAT,17:00:00 15-Feb-2020,,,,0.0,25.7,Status
196385,196385,0.500000,MiniPAT,18:00:00 15-Feb-2020,,,,0.0,25.7,Status
196385,196385,0.500000,MiniPAT,04:00:00 16-Feb-2020,,,,0.0,25.4,Status
196385,196385,0.500000,MiniPAT,15:00:00 16-Feb-2020,,,,0.0,26.1,Status
196385,196385,0.500000,MiniPAT,17:00:00 16-Feb-2020,,,,0.0,26.1,Status
196385,196385,0.500000,MiniPAT,04:00:00 17-Feb-2020,,,,0.0,25.7,Status
196385,196385,0.500000,MiniPAT,08:00:00 17-Feb-2020,,,,0.0,25.5,Status
196385,196385,0.500000,MiniPAT,15:00:00 17-Feb-2020,,,,0.0,25.2,Status
196385,196385,0.500000,MiniPAT,19:00:00 17-Feb-2020,,,,0.0,25.1,Status
196385,196385,0.500000,MiniPAT,06:00:00 18-Feb-2020,,,,0.0,25.1,Status
196385,196385,0.500000,MiniPAT,08:00:00 18-Feb-2020,,,,0.0,25.2,Status
196385,196385,0.500000,MiniPAT,17:00:00 18-Feb-2020,,,,0.0,25.1,Status
196385,196385,0.500000,MiniPAT,19:00:00 18-Feb-2020,,,,0.0,25.1,Status
196385,196385,0.500000,MiniPAT,15:00:00 19-Feb-2020,,,,0.0,25.3,Status
196385,196385,0.500000,MiniPAT,17:00:00 19-Feb-2020,,,,0.0,25.3,Status
